symbol,marcap,priceDate,quarterDate,capFilter,rank,
AMAG,601,20170609,20170331,400,1,
AMCX,3743,20170609,20170331,400,2,
AOBC,1350,20170609,20170131,400,3,
ABC,20654,20170609,20170331,400,4,
AMGN,120764,20170609,20170331,400,5,
AMN,1757,20170609,20170331,400,6,
AGX,1002,20170609,20170430,400,7,
BIIB,55616,20170609,20170331,400,8,
BPT,447,20170609,20170331,400,9,
BKE,874,20170609,20170430,400,10,
CSCO,156787,20170609,20170430,400,11,
DLX,3421,20170609,20170331,400,12,
DIN,828,20170609,20170331,400,13,
DISCA,15320,20170609,20170331,400,14,
DNB,3830,20170609,20170331,400,15,
EGRX,1172,20170609,20170331,400,16,
ESRX,36448,20170609,20170331,400,17,
FRAN,422,20170609,20170430,400,18,
GME,2229,20170609,20170430,400,19,
GNTX,5415,20170609,20170331,400,20,
GILD,84562,20170609,20170331,400,21,
GHC,3340,20170609,20170331,400,22,
HCKT,433,20170609,20170331,400,23,
HPQ,29963,20170609,20170430,400,24,
IDCC,2873,20170609,20170331,400,25,
MBUU,445,20170609,20170331,400,26,
MDP,2521,20170609,20170331,400,27,
MIK,3495,20170609,20170430,400,28,
MPAA,572,20170609,20161231,400,29,
MSGN,1651,20170609,20170331,400,30,
NCMI,475,20170609,20170331,400,31,
NLS,548,20170609,20170331,400,32,
NSR,1827,20170609,20170331,400,33,
OMC,19119,20170609,20170331,400,34,
PDLI,402,20170609,20170331,400,35,
PBI,2833,20170609,20170331,400,36,
RHI,6009,20170609,20170331,400,37,
SP,673,20170609,20170331,400,38,
RGR,1201,20170609,20170331,400,39,
SCMP,441,20170609,20170331,400,40,
SYNT,1381,20170609,20170331,400,41,
TGNA,3065,20170609,20170331,400,42,
TDC,3619,20170609,20170331,400,43,
TIME,1375,20170609,20170331,400,44,
FOXA,52120,20170609,20170331,400,45,
UIS,602,20170609,20170331,400,46,
UTHR,5927,20170609,20170331,400,47,
USNA,1609,20170609,20170331,400,48,
VIAB,14202,20170609,20170331,400,49,
WNC,1272,20170609,20170331,400,50,
AMAG,601,20170609,20170331,500,1,
AMCX,3743,20170609,20170331,500,2,
AOBC,1350,20170609,20170131,500,3,
ABC,20654,20170609,20170331,500,4,
AMGN,120764,20170609,20170331,500,5,
AMN,1757,20170609,20170331,500,6,
AGX,1002,20170609,20170430,500,7,
BBY,17613,20170609,20170430,500,8,
BIIB,55616,20170609,20170331,500,9,
BKE,874,20170609,20170430,500,10,
CA,13109,20170609,20170331,500,11,
CPLA,1013,20170609,20170331,500,12,
CSCO,156787,20170609,20170430,500,13,
CJREF,1966,20170609,20170228,500,14,
DLX,3421,20170609,20170331,500,15,
DIN,828,20170609,20170331,500,16,
DISCA,15320,20170609,20170331,500,17,
DNB,3830,20170609,20170331,500,18,
EGRX,1172,20170609,20170331,500,19,
ESRX,36448,20170609,20170331,500,20,
GME,2229,20170609,20170430,500,21,
GNTX,5415,20170609,20170331,500,22,
GILD,84562,20170609,20170331,500,23,
GHC,3340,20170609,20170331,500,24,
HPQ,29963,20170609,20170430,500,25,
