symbol,marcap,priceDate,quarterDate,capFilter,rank,
AMAG,602,20170613,20170331,400,1,
AMCX,3841,20170613,20170331,400,2,
AOBC,1362,20170613,20170131,400,3,
AGX,964,20170613,20170430,400,4,
BPT,445,20170613,20170331,400,5,
CSCO,156187,20170613,20170430,400,6,
DLX,3475,20170613,20170331,400,7,
DISCA,15608,20170613,20170331,400,8,
ESRX,37107,20170613,20170331,400,9,
GME,2199,20170613,20170430,400,10,
GILD,85517,20170613,20170331,400,11,
GHC,3359,20170613,20170331,400,12,
HPQ,29896,20170613,20170430,400,13,
IDCC,2869,20170613,20170331,400,14,
MIK,3493,20170613,20170430,400,15,
MPAA,558,20170613,20161231,400,16,
MSGN,1666,20170613,20170331,400,17,
NCMI,472,20170613,20170331,400,18,
NLS,555,20170613,20170331,400,19,
NSR,1827,20170613,20170331,400,20,
OMC,19108,20170613,20170331,400,21,
PBI,2867,20170613,20170331,400,22,
SCMP,425,20170613,20170331,400,23,
SYNT,1397,20170613,20170331,400,24,
TGNA,3114,20170613,20170331,400,25,
TDC,3633,20170613,20170331,400,26,
UIS,609,20170613,20170331,400,27,
UTHR,5983,20170613,20170331,400,28,
USNA,1595,20170613,20170331,400,29,
VIAB,14479,20170613,20170331,400,30,
AMAG,602,20170613,20170331,500,1,
AMCX,3841,20170613,20170331,500,2,
AOBC,1362,20170613,20170131,500,3,
AGX,964,20170613,20170430,500,4,
BKE,893,20170613,20170430,500,5,
CSCO,156187,20170613,20170430,500,6,
DLX,3475,20170613,20170331,500,7,
DIN,837,20170613,20170331,500,8,
DISCA,15608,20170613,20170331,500,9,
EGRX,1128,20170613,20170331,500,10,
ESRX,37107,20170613,20170331,500,11,
GME,2199,20170613,20170430,500,12,
GILD,85517,20170613,20170331,500,13,
GHC,3359,20170613,20170331,500,14,
HPQ,29896,20170613,20170430,500,15,
IDCC,2869,20170613,20170331,500,16,
MIK,3493,20170613,20170430,500,17,
MPAA,558,20170613,20161231,500,18,
MSGN,1666,20170613,20170331,500,19,
NLS,555,20170613,20170331,500,20,
NSR,1827,20170613,20170331,500,21,
OMC,19108,20170613,20170331,500,22,
PBI,2867,20170613,20170331,500,23,
SYNT,1397,20170613,20170331,500,24,
TGNA,3114,20170613,20170331,500,25,
TDC,3633,20170613,20170331,500,26,
UIS,609,20170613,20170331,500,27,
UTHR,5983,20170613,20170331,500,28,
USNA,1595,20170613,20170331,500,29,
VIAB,14479,20170613,20170331,500,30,
AMCX,3841,20170613,20170331,750,1,
AOBC,1362,20170613,20170131,750,2,
AGX,964,20170613,20170430,750,3,
BKE,893,20170613,20170430,750,4,
CSCO,156187,20170613,20170430,750,5,
DLX,3475,20170613,20170331,750,6,
DIN,837,20170613,20170331,750,7,
DISCA,15608,20170613,20170331,750,8,
EGRX,1128,20170613,20170331,750,9,
